查询书名,豆瓣标题,作者,出版社,出版日期,定价,ISBN,评分,评分人数,标签,封面URL,豆瓣URL
"呐喊","呐喊","鲁迅","人民文学出版社","1973-3","0.36元","",9.2,177778,"","https://img9.doubanio.com/view/subject/s/public/s34099286.jpg","https://book.douban.com/subject/1449351/"
"彷徨","彷徨","鲁迅","人民文学出版社","1973-3","0.37元","",9.3,75167,"","https://img3.doubanio.com/view/subject/s/public/s34099293.jpg","https://book.douban.com/subject/1449348/"
"射雕英雄传","射雕英雄传","金庸","生活·读书·新知三联书店","1999-04","47.00元","9787108012586",9.1,92469,"","https://img9.doubanio.com/view/subject/s/public/s34100166.jpg","https://book.douban.com/subject/1044547/"
"神雕侠侣","神雕侠侣","金庸","生活·读书·新知三联书店","1994-5","76.80元","9787108006660",8.9,106773,"","https://img9.doubanio.com/view/subject/s/public/s26018916.jpg","https://book.douban.com/subject/1255624/"
"活着","活着","余华","作家出版社","2012-8","28.00元","9787506365437",9.4,915601,"","https://img9.doubanio.com/view/subject/s/public/s29869926.jpg","https://book.douban.com/subject/4913064/"
"许三观卖血记","许三观卖血记","余华","作家出版社","2012-9","24.00元","9787506365680",9.2,202038,"","https://img1.doubanio.com/view/subject/s/public/s24575140.jpg","https://book.douban.com/subject/4760224/"
"深度学习","深度学习：基础与概念","[英]克里斯托弗 · M. 毕晓普（Christopher M. Bishop）","人民邮电出版社","2025-5","188.00元","9787115663702",8.8,48,"","https://img3.doubanio.com/view/subject/s/public/s35158187.jpg","https://book.douban.com/subject/37361213/"
"机器学习","机器学习 (原书第2版)","[希] 西格尔斯·西奥多里蒂斯","机械工业出版社","2022-2","279.00","9787111692577",9.8,17,"","https://img1.doubanio.com/view/subject/s/public/s34123220.jpg","https://book.douban.com/subject/35768237/"
"人类简史","人类简史","[以色列] 尤瓦尔·赫拉利","中信出版社","2014-11","68.00元","9787508647357",9.1,214965,"","https://img3.doubanio.com/view/subject/s/public/s27814883.jpg","https://book.douban.com/subject/25985021/"
"未来简史","未来简史","[以色列] 尤瓦尔·赫拉利","中信出版社","2016-12-27","¥100","9787508672267",8.7,11850,"","https://img1.doubanio.com/view/subject/s/public/s29317658.jpg","https://book.douban.com/subject/26945094/"
"围城","围城","钱锺书","人民文学出版社","1991-2-1","39.00元","9787020090006",9.3,114017,"","https://img3.doubanio.com/view/subject/s/public/s11276847.jpg","https://book.douban.com/subject/11524204/"
"边城","边城","沈从文","北岳文艺出版社","2002-4","12.00元","9787537823425",8.7,243131,"","https://img3.doubanio.com/view/subject/s/public/s1595557.jpg","https://book.douban.com/subject/1057244/"
"骆驼祥子","骆驼祥子","老舍","人民文学出版社","1962-10-1","12.00元","9787020028115",8.6,226640,"","https://img1.doubanio.com/view/subject/s/public/s1146040.jpg","https://book.douban.com/subject/1043815/"
"家","家","巴金","人民文学出版社","2018-6","59.00元","9787020140428",8.4,5402,"","https://img2.doubanio.com/view/subject/s/public/s35012671.jpg","https://book.douban.com/subject/30238011/"
"雷雨","雷雨","曹禺","人民文学出版社","1999-05","9.20","9787020018567",8.7,85689,"","https://img3.doubanio.com/view/subject/s/public/s23579217.jpg","https://book.douban.com/subject/1013416/"
"倾城之恋","倾城之恋","张爱玲","北京十月文艺出版社","2019-3","49.50元","9787530218624",9.3,24035,"","https://img9.doubanio.com/view/subject/s/public/s30007166.jpg","https://book.douban.com/subject/30294357/"
"朝花夕拾","朝花夕拾","鲁迅","人民文学出版社","1973-4","0.25元","",9.1,173337,"","https://img1.doubanio.com/view/subject/s/public/s34099290.jpg","https://book.douban.com/subject/1449352/"
"背影","背影","马未都","人民文学出版社","2021-6-1","55","9787020171033",8.2,1033,"","https://img1.doubanio.com/view/subject/s/public/s33920420.jpg","https://book.douban.com/subject/35494006/"
"我与地坛","我与地坛","史铁生","人民文学出版社","2011-1-1","23.00元","9787020083442",9.3,82428,"","https://img1.doubanio.com/view/subject/s/public/s35435848.jpg","https://book.douban.com/subject/5910656/"
"文化苦旅","文化苦旅","余秋雨","北京联合出版公司","2020-3","52.00元","9787559639233",8.5,6312,"","https://img2.doubanio.com/view/subject/s/public/s33633021.jpg","https://book.douban.com/subject/35051018/"
"目送","目送","龙应台","生活·读书·新知三联书店","2009-10","39.00元","9787108032911",8.6,214791,"","https://img1.doubanio.com/view/subject/s/public/s3984108.jpg","https://book.douban.com/subject/3995526/"
"雅舍小品","雅舍小品","梁实秋","万卷出版公司","2015-10","32元","9787547038864",8.9,805,"","https://img1.doubanio.com/view/subject/s/public/s28322938.jpg","https://book.douban.com/subject/26647408/"
"唐诗三百首","唐诗三百首新注","蘅塘退士","上海古籍出版社","2016-11-1","88.00元","9787532580934",9.5,205,"","https://img9.doubanio.com/view/subject/s/public/s33499475.jpg","https://book.douban.com/subject/26973232/"
"宋词三百首","宋词三百首","武玉成，顾丛龙 注","人民文学出版社","2004-08","18.00元","9787020047581",9.4,4128,"中国文学/古典/文学/国学/文化/历史","https://img2.doubanio.com/view/subject/s/public/s1131431.jpg","https://book.douban.com/subject/1006967/"
"飞鸟集","飞鸟集","[印] 罗宾德拉纳德·泰戈尔","哈尔滨出版社","2004-6","16.80元","9787806992197",8.9,70614,"","https://img3.doubanio.com/view/subject/s/public/s1044902.jpg","https://book.douban.com/subject/1058661/"
"新月诗选","新月诗选","陈梦家编","解放军文艺出版社","2000-7","10.0","9787503312519",7.7,113,"","https://img3.doubanio.com/view/subject/s/public/s2366153.jpg","https://book.douban.com/subject/1523840/"
"海子诗全集","海子诗全集","海子 著","作家出版社","2009-3","88.00元","9787506346207",9.3,12770,"","https://img3.doubanio.com/view/subject/s/public/s3670242.jpg","https://book.douban.com/subject/3610681/"
"艾青诗选","艾青诗选","艾青","人民文学出版社","","","9787020159215",8.6,363,"","https://img3.doubanio.com/view/subject/s/public/s34144912.jpg","https://book.douban.com/subject/34942834/"
"时间简史","时间简史","[英] 史蒂芬·霍金","湖南科学技术出版社","2010-4","45.00元","9787535732309",8.9,65689,"","https://img2.doubanio.com/view/subject/s/public/s1914861.jpg","https://book.douban.com/subject/1034282/"
"上帝掷骰子吗","上帝掷骰子吗","曹天元","辽宁教育出版社","2006-1","32.00元","9787538276374",9.2,37167,"","https://img9.doubanio.com/view/subject/s/public/s1486674.jpg","https://book.douban.com/subject/1467022/"
"从一到无穷大","从一到无穷大","[美] 乔治·伽莫夫","天津人民出版社","2019-9","58.00元","9787201151304",9.0,3806,"","https://img1.doubanio.com/view/subject/s/public/s33462079.jpg","https://book.douban.com/subject/34782541/"
